ID,Name of Piece,Author,Number of Copies,Google Drive Link
28,Ave Maria,Pedro Simón Rincon,10,https://drive.google.com/file/d/1MOg3c6jwj0Zr2Cxc2gJtQn09UYx-72hw/view?usp=drivesdk
29,Ave Maria,Cesar Alejandro Carrillo,8,https://drive.google.com/file/d/1X9Zt8C_rjzEefiNgYfO1rZQFmgfdR7DU/view?usp=drivesdk
30,Balada de la Luna Luna,Modesta Bor,8,https://drive.google.com/file/d/1YaiGmEf1VXXPYa2IHw4pFxMfaaQ6sE0-/view?usp=drivesdk
31,Balada del Granado Verde,Eduardo Plaza,30,https://drive.google.com/file/d/1EIaN85In2ggjFgDpXsxbcKqqcg5NETox/view?usp=drivesdk
32,Barco de la Media Noche,Modesta Bor,15,https://drive.google.com/file/d/1HEsk3kOT00xZ6GXVLzZDaXV-CR-FLQOg/view?usp=drivesdk
33,Beautiful Dreamer,Roger Wagner,30,https://drive.google.com/file/d/19ZKV9sFKZT0dAq41qe0N_14PDCw3ICkZ/view?usp=drivesdk
34,Waldesnacht,Johannes Brahms,10,https://drive.google.com/file/d/1xHzl0l54sMPe3JX6LGbI2NXkYi2_zBIX/view?usp=drivesdk
35,Es ist ein Ros entsprungen,Michael Praetorius,3,https://drive.google.com/file/d/1DvYlUB_t3gZ5z55G_ddWVjoUfyJSMlK4/view?usp=drivesdk
36,Bonzorno Madonna,Antonio Scandello,10,https://drive.google.com/file/d/1l1NTVtJQXgQg5d9US5wRc95Fugz_-GN7/view?usp=drivesdk
37,Cabaret,Ralph Wilkinson,8,https://drive.google.com/file/d/1OkpsA78fa2DPkX71eTrshyAVSw-iuYti/view?usp=drivesdk
38,Calipso del Callao,Jose Geraldo Arrieche,20,https://drive.google.com/file/d/1P2yWHRc9COGKb26_SpsBHysFh0AYPOmN/view?usp=drivesdk
39,Cancion de Cuna,Alberto Grau,10,https://drive.google.com/file/d/1v3ZayzIG2j-Un8pDQBq44pa9gkV6RPho/view?usp=drivesdk
40,Cancion de la Amistad Coral,Anonimo,10,https://drive.google.com/file/d/1a10VNByKGfOi-kmMYJm1YdFSeEWablfZ/view?usp=drivesdk
41,Cancion de la Juventud,Dmitri Shostakovich,20,https://drive.google.com/file/d/1eD9HJpxeq-dFh7CBQz4q2d5nVjT4WQcb/view?usp=drivesdk
42,Cancion de la Molinera,Antonio Estevez,20,https://drive.google.com/file/d/1LCTRXb8uzNLBQVGWGVUoy8OuGmy2i3GL/view?usp=drivesdk
43,Cancion de Noche sin Luna,Ruben Rivas,15,https://drive.google.com/file/d/1avN7fQJNO6RaFbrcMs8JAh6MLYEooMJp/view?usp=drivesdk
44,Canción Gallega,Anónimo,,
45,Canciones Populares Argentinas,Carlos Guastavino,5,https://drive.google.com/file/d/11-5LBLKdvl9OzqY0XuVpIPK3cG3UJIDK/view?usp=drivesdk
46,Candida Maria,Rafael Suarez,12,https://drive.google.com/file/d/1GnYqOQtpXJ1Vn8Su2snhXwkrdnlW_6Xa/view?usp=drivesdk
47,Cantando Bajito,Rosa Briceño,30,https://drive.google.com/file/d/1QPT6nhAe-KpgTGIVN7nn-iY4Soo4xYWh/view?usp=drivesdk
48,Cantar No 1,Diogenes Rivas,10,https://drive.google.com/file/d/1Irvjsa37hutlf-eYE18s66VIkk6xWgq9/view?usp=drivesdk
49,Cantemos,Inocente Carreño,30,https://drive.google.com/file/d/1-kfKH_qmdzejKIwiVuTQ8JnoUVB4G3F6/view?usp=drivesdk
50,Cantemos a Coro,Ruben Rivas,8,https://drive.google.com/file/d/1iBmBpmX3PlHzz5GCiWiYWVSUFE9KDeV1/view?usp=drivesdk
51,Cantemus,Bardos Lajos,3,https://drive.google.com/file/d/1xOzi-A4fWAiCs_NhsK-an7GuSixrRCqg/view?usp=drivesdk
52,Cantico,Vicente Emilio Sojo,5,https://drive.google.com/file/d/1pHb1_sVl786u6PRuDqN3LbtfiVHM2NfS/view?usp=drivesdk
53,Cantico de Navidad,Inocente Carreño,-,https://drive.google.com/file/d/17IB9CO6VDtJYkxzvSMsxsXFrIAf-S3E4/view?usp=drivesdk
54,Canto A Bolivar,Juan Bautista Plaza,20,https://drive.google.com/file/d/1HIn2DhYRahTHZWnHG-JtOLqbaNqO-Z72/view?usp=drivesdk
55,Canto a la Vida,Modesta Bor,15,https://drive.google.com/file/d/1JtTRRgCeanVTi9eJBuWXqaiPA_qYOmHN/view?usp=drivesdk
56,Canto Alegre de Navidad,Francois Gevaert,15,https://drive.google.com/file/d/1IgOav3jWbulIXWlV67USV2W6mCD9gQQL/view?usp=drivesdk
57,Cañamelar,Amilcar Rivas,15,https://drive.google.com/file/d/1JTTyBzzE0RIKhk6ZNb8_ySJ8lVZTTX5D/view?usp=drivesdk
58,Ave Maria,Sergei Rachmaninoff,10,https://drive.google.com/file/d/1Xc9G6kErNExsAN6bjopHIa7kz0h-udU-/view?usp=drivesdk
59,Caramba,Federico Ruiz,8,https://drive.google.com/file/d/1E5bATIsskMdtvrEbKJJwy6SApoEsGrCm/view?usp=drivesdk
60,Carnaval,Rafael Suarez,2,
61,Celestial,Gilberto Rebolledo,30,https://drive.google.com/file/d/1MR49X6XFXbKs9i1F_JNKzxnh0gXYdnki/view?usp=drivesdk
62,Cocorioco,Juan Trocconi,12,https://drive.google.com/file/d/1agf7inngQuUHDlJ4uKwOba8b8096OlLh/view?usp=drivesdk
63,Copla,Rene Rojas,10,https://drive.google.com/file/d/1bnWwsJYWcU8LdQR8cm74StV6jb5lfAzJ/view?usp=drivesdk
64,Coral,Pedro Simón Rincon,20,https://drive.google.com/file/d/12G_5LwIvYzE66Bqt7lU_cfY9RorKN0td/view?usp=drivesdk
65,Corales,Johann Sebastian Bach,2,https://drive.google.com/file/d/1WKH2YWEf1VYwx_72Pe5oinOGcXNlkfTA/view?usp=drivesdk
66,Criollisima,Modesta Bor,5,https://drive.google.com/file/d/1N5bBtBPdReZ2PU9ktCdlM5KsbyhnYEMK/view?usp=drivesdk
67,Gradual para Domingo de Ramos,Jose Mauricio Nunes Garcia,20,https://drive.google.com/file/d/1i2Yrjc_yAeqVh7ZXoDqLWXABApFsAZu2/view?usp=drivesdk
68,Cuatrocientos Cincuenta Años,Modesta Bor,12,https://drive.google.com/file/d/1seAfxfOxyq2hs7m0xf6DsFub1o0_Q8es/view?usp=drivesdk
69,Chanflin,J Tony Guzman,12,https://drive.google.com/file/d/1cHkN3INtQKpFsQEpS2fMuQjCJlkttOwW/view?usp=drivesdk
70,Coral,Busoni,1,
71,Christus Factus Est,JA Caro de Boesi,20,https://drive.google.com/file/d/11-RKV-avTs8UgqfqzGwp7z_gfn4BNmGL/view?usp=drivesdk
72,De la montaña venimos,Gilberto Rebolledo,30,https://drive.google.com/file/d/1-oR1MlO0hS5aOE7D1wOFPh4txrBJqdNp/view?usp=drivesdk
73,De Una Raíz tan Fina,Michael Praetorius,20,https://drive.google.com/file/d/1hcs9Ab5IVTOKNA7iUDx7XpWtakAhZDpd/view?usp=drivesdk
74,Despertar,Antonio Estevez,,https://drive.google.com/file/d/1QDh2JlOSKWL553oKxgJ7qTR_bVPxVVji/view?usp=drivesdk
75,Di Vaghe Fila D'oro,Ruggiero Giovanelli,10,https://drive.google.com/file/d/1fWJibQYzG5cuVniMOFDw3z3LyrIim8Bc/view?usp=drivesdk
76,Dime si es pascua,Gilberto Rebolledo,25,https://drive.google.com/file/d/1MItiug425Mpk3-MsSklo1casZP7MXTsw/view?usp=drivesdk
77,Dolcissima mia vita,Gesualdo Di Venosa,20,https://drive.google.com/file/d/1d0l4QF7RfDa5K1zia8SrOxI0pfL4Y0lm/view?usp=drivesdk
78,Dormite mi niño,Vicente Emilio Sojo,12,https://drive.google.com/file/d/1JJe2vi4dzm6II-G4kZMK66_rHz1Wf0HJ/view?usp=drivesdk
79,Dulcisima Maria,Anonimo,10,https://drive.google.com/file/d/1ajplSefgiAFEiDwkEcO54CqhzoOnCmNb/view?usp=drivesdk
80,Ecce Quomodo Moritur,Marco Antonio Ingegneri,10,https://drive.google.com/file/d/1ucXoVvDKWQlYjojH8m9snPMlQwq2Bhm1/view?usp=drivesdk
81,El Grillo E Buon Cantore,Giosquino D'Ascano,10,https://drive.google.com/file/d/1ePgbUkjLxFClcgxwSEUxjeQ-NirZCPAc/view?usp=drivesdk
82,El guayaboso,Guido Gavilan,15,https://drive.google.com/file/d/1hzWZyoNegc5iKIgqf_bTmiwyoj1lEgee/view?usp=drivesdk
83,El niño criollo,Modesta Bor,15,https://drive.google.com/file/d/1a_btSOdy3qaeIneY2wLRI_vVFNhvWbGO/view?usp=drivesdk
84,El Noi de la Mare,Ernest Cervera,2,https://drive.google.com/file/d/1RAPoeoL1H_qH1HLxeXmYATYCR9q5EebE/view?usp=drivesdk
85,El Pequen,Rafael Suárez,8,https://drive.google.com/file/d/1whGMaeKTwLUo2lghqsGQN6LjAr8zh5zH/view?usp=drivesdk
86,El Ritmo de la Habanera,Romo Raventos,20,https://drive.google.com/file/d/1jEZI8Fwo99YNEDKzS3ZRNJIKFqLhrD1L/view?usp=drivesdk
87,Eli Eli,G. Bardos,20,https://drive.google.com/file/d/1xec2b--pnh-UpXl62MlmCctGoOjLdNzt/view?usp=drivesdk
88,En Belen Tocan a Fuego,Ernest Cervera,10,https://drive.google.com/file/d/1FO4agjDpQ9zRzHwU1cOOlDbKFKs6veK0/view?usp=drivesdk
89,En Días Así,Electo Silva,20,https://drive.google.com/file/d/19LgucfRGhipbS7d99X1rnjpxWFkMvcF6/view?usp=drivesdk
90,Epitalamium,Vicente Emilio Sojo,18,https://drive.google.com/file/d/11OIrNd77VSbo4nm9Betty1tzry9mAgr_/view?usp=drivesdk
91,Esplendida Noche,Ricardo Perez,15,https://drive.google.com/file/d/17t0dsQMk4eocIqTgccyGZvFE2ScVapzV/view?usp=drivesdk
92,Esta Bella Noche,Luis Eduardo Galian,10,https://drive.google.com/file/d/1DAagFNI9ArQi9hZ40LCT4xEEWLjZD1vp/view?usp=drivesdk
93,Estidal,Zoltán Kodaly,20,https://drive.google.com/file/d/1ZBIJteo8TGZ_fCRVIIjXUlo8n5Z6i_-M/view?usp=drivesdk
94,Estote fortes in bello,Tomás Luis de Victoria,5,https://drive.google.com/file/d/1Oa_KLoiS01RAWl2jU9wzLVoVjDk7GOzb/view?usp=drivesdk
95,-,-,-,
96,Evohe,J A Calcaño,3,https://drive.google.com/file/d/1t8plgsQSo-YOQWJ324yc4kOC8THKNUpi/view?usp=drivesdk
97,Exultate Deo,Alessandro Scarlatti,15,https://drive.google.com/file/d/10rjk13rjlVDYgCaoOWrYfvMHt9il50pY/view?usp=drivesdk
98,Flor de Mayo,Moises Moleiro,20,https://drive.google.com/file/d/1YWdpQWMnwxer-wPngY5jJFLNy4IT0Y7d/view?usp=drivesdk
99,El Fuego,Mateo Flecha,30,https://drive.google.com/file/d/1CZcuY_uyHEGZpmjELES5h6Ax0XdU765t/view?usp=drivesdk
100,Fulia de Cumana,Modesta Bor,,https://drive.google.com/file/d/1-aBIob1benlzrO1SrsRwPqtYyvKMdVk2/view?usp=drivesdk
101,-,-,-,
102,Gaudeamus Igitur,Antonio Estevez,20,https://drive.google.com/file/d/1Kd1dGdDOK5YjvwwyMUxKf88bFd-od24Y/view?usp=drivesdk
103,El Gavan,Rafael Suárez,8,https://drive.google.com/file/d/1JtuX_Pr2CTTflVe5zvnxBPJSOGRtGspW/view?usp=drivesdk
104,Gloria ,Vivaldi,20,https://drive.google.com/file/d/1-zAnZg9iTtoUlhwMVuZqDet4t4HAvyX-/view?usp=drivesdk
105,Gloria ,Flavio Magnani,20,
106,Gota de breve rocio,Inocente Carreño,8,https://drive.google.com/file/d/1exJH-c7JksDJv0k8kjJRnnaMpo0-wGyM/view?usp=drivesdk
107,Christus Factus Est,Anton Bruckner,25,https://drive.google.com/file/d/1jkUL-O_P8UlFymOcWzbScm3SafpCG14T/view?usp=drivesdk
108,Non nobis Domine,William Byrd,10,https://drive.google.com/file/d/1O6Wn5xJC-yhtm0TWPo80NsUvb1cnLToa/view?usp=drivesdk
109,Festejo,Anonimo,20,https://drive.google.com/file/d/17TlKrlFImx-CBCjJz4aVf3CRI_dd4Poa/view?usp=drivesdk
110,Serenata Para la Tierra de uno,Liliana Cangiano,10,https://drive.google.com/file/d/1478HSwmnrXI2b8oognfViikVDITw69dU/view?usp=drivesdk
111,Magnificat,Javier Busto,,
112,Maritxu Nora zoaz,Javier Busto,3,https://drive.google.com/file/d/12L2Uakpm3kYFg8PFn0jdA-d-Ttx1K3io/view?usp=drivesdk
113,Papagenos Glockenspiel,Wolfgang Amadeus Mozart,10,https://drive.google.com/file/d/16H4oTCWm2k3UBSKPAowpDC3aev98KbGM/view?usp=drivesdk
114,Hora Nirkoda,Marc Lavry,,
115,Huainito,Juan Martini,10,https://drive.google.com/file/d/1_nLUCXsgvzS7C6CCK-MqzKDAliU5oJ8X/view?usp=drivesdk
116,If I got my ticket can I ride,Robert Shaw,20,https://drive.google.com/file/d/1ydmvsr-A2HEeoGVh1WDzp0dvf-AzvhxR/view?usp=drivesdk
117,Miser Catulle,Carl Orff,8,https://drive.google.com/file/d/1Oy_1KAIFgW7Ii32HxRB6t-R0V4BBP3t2/view?usp=drivesdk
118,Il Eco,Orlando de Lasso,10,https://drive.google.com/file/d/1tmBmQsWih5cbjbaAlRFdVwkvSfJB3pzr/view?usp=drivesdk
119,Ire a Santiago,Roberto Varela,20,https://drive.google.com/file/d/1Pls59PekGH16pDINUGKVEXFxYG7FYTE5/view?usp=drivesdk
120,Isla de Margarita,Modesta Bor,8,https://drive.google.com/file/d/1ZQz9Pr9nivrufr70lV8cJWEgnYYCOV1L/view?usp=drivesdk
121,Ich stund an einem Morgen,Heinrich Isaac,15,https://drive.google.com/file/d/1C9zWQyC_46ybe2cGd4dW_fuV-RR9aYfv/view?usp=drivesdk
122,La Brisa,Modesta Bor,8,https://drive.google.com/file/d/1ORbPnorDXl4sTewQA5TiVUSF-QazRazO/view?usp=drivesdk
123,La Burra,Federico Ruiz,12,https://drive.google.com/file/d/1Y0CIB3HV5VhsqxRhQ6pT5lVhzyDZuGfH/view?usp=drivesdk
124,La Galera,Modesta Bor,25,https://drive.google.com/file/d/1MfRVtDp4lT75xdNcrOV78Utci5GX572u/view?usp=drivesdk
125,La Guitarra,Alfredo Rugeles,5,https://drive.google.com/file/d/1cwLwRdHJVnRfGSQuLLm4dumqVq9coGvK/view?usp=drivesdk
126,La Peregrinacion,J G Segado,25,https://drive.google.com/file/d/1PA_m5gpeM7CS1dbluta6JNiP_ykPu6jb/view?usp=drivesdk
127,La tarde como con pena,Pedro S Rincon,15,https://drive.google.com/file/d/1ojXwly6LuFOEdpOH89d33luu6d1YQJ9E/view?usp=drivesdk
128,Y la trasnochada,Maria del Carmen Aguilar,8,https://drive.google.com/file/d/1A3epb8qxggE1Fr9QkOoAJRfHsECn4d5h/view?usp=drivesdk
129,La Vasija de Barro,Javier Zentner,20,https://drive.google.com/file/d/17yeFoC9TXtyVXJNuulkYlKkdqJtbkuhY/view?usp=drivesdk
130,Laetitia,Vicente Emilio Sojo,12,https://drive.google.com/file/d/1ahQb9s6la3qJ0lbO-nNTwP0K8JR-AUfI/view?usp=drivesdk
131,Las Cuatro Palomas,Electo Silva,20,https://drive.google.com/file/d/1HHXf6a_ODrYO7Z4W2f0TblCqnDGx46Fg/view?usp=drivesdk
132,Las Mañanitas,Julian Aguirre,20,https://drive.google.com/file/d/18Ouxyudw_UUoVkullc8lXQop4-yW-7CM/view?usp=drivesdk
133,Las Plenas,Raul Delgado Estevez,4,https://drive.google.com/file/d/1vxwLbUZ52uyJFfN7qDbf0R2a3INk_Lg2/view?usp=drivesdk
134,Las Posadas,Anonimo,5,https://drive.google.com/file/d/1CDiNv849HFDu2jRe85ieFP7pkwewNAND/view?usp=drivesdk
135,Lasciate mi morire,Claudio Monteverdi,15,https://drive.google.com/file/d/1-rTENfBDC8rJSd5U9JwDiryhGkQT6ys_/view?usp=drivesdk
136,Lay,Vicente Emilio Sojo,8,https://drive.google.com/file/d/1Xq67SF6ycKTyq2mG5j6xxDgsJ8yEdoYX/view?usp=drivesdk
137,Liebelieder,Johannes Brahms,30,
138,Lo que dura la gota de Rocio,Ruben Rivas,5,https://drive.google.com/file/d/1amS01RX7ZIQffj0uYdnHbFUxGBfCscAV/view?usp=drivesdk
139,Los tres reyes Magos,Modesta Bor,30,https://drive.google.com/file/d/1BENqecTCWR8I8ifvnslN8XroQ0pF1r7J/view?usp=drivesdk
140,Llorad Mortales,Pedro Nolasco Colón,1,https://drive.google.com/file/d/1xPeWWWpzkqdF7SUOuZiBApSxMtZs-Cpx/view?usp=drivesdk
141,Lluvia del Cielo,Anonimo,15,https://drive.google.com/file/d/1ywtC0HqdsYCf0ln1wiEOqfk4aWv3bwv1/view?usp=drivesdk
142,8 Madrigales,Monteverdi,8,
143,Manchas Sonoras,Modesta Bor,25,https://drive.google.com/file/d/1ACmP1PToldnBn8LOMkx9VlheJIBFDdXb/view?usp=drivesdk
144,Neruda Tiempo y Espacio,Gilberto Rebolledo,10,https://drive.google.com/file/d/1j1xj-wcgFa6jIP8PKIhDvG1SGsB9-OBo/view?usp=drivesdk
145,Maracaibera,Rafael Suarez,20,https://drive.google.com/file/d/1VFxQfJZ_MSF_c_UrHtovL4D1p23w6ksV/view?usp=drivesdk
146,Mare Mare,Anonimo,10,https://drive.google.com/file/d/1wGqqgkHwjNaY2HExX2xSq1bkDfq_ns71/view?usp=drivesdk
147,Maria en la Montaña,F Guenther,18,https://drive.google.com/file/d/1H-VW5zQd97WKhtHI3Ar8BZXlt7S6Lspu/view?usp=drivesdk
148,Mas Vale Trocar,Juan del Encina,8,https://drive.google.com/file/d/1TF_CKRrailzB91_yczz7XC9B0iWwXpsz/view?usp=drivesdk
149,Mata del Anima Sola,Antonio Estevez,10,https://drive.google.com/file/d/1z1vs0q_z-RlAJgzdegtU6ns5TSm2086J/view?usp=drivesdk
150,Matona Mia Cara,Orlando de Lasso,,https://drive.google.com/file/d/1lBU5TH0PHtvQOaMjUtwmSv3a2iq7_aAD/view?usp=drivesdk
151,Memento Salutis Auctor,William Byrd,5,https://drive.google.com/file/d/17ZCgJ3jvkMWe5vvtRmmZlFwWVRmfpuIE/view?usp=drivesdk
152,Merida,Ruben Rivas,20,https://drive.google.com/file/d/1j_xJ1kb6JbiEMG1aQHHOUZKVOPonDbSZ/view?usp=drivesdk
153,Metodo Pratico di Canto Italiano,Nicola Vaccaj,20,https://drive.google.com/file/d/1hrg9n0yOARSoPfYGxW61Ww_6dgGjKzJF/view?usp=drivesdk
154,Mi niño jesus,Luis Eduardo Galian,20,https://drive.google.com/file/d/1CiAvV28Q5PGwSGz_Dm_h0DAenf8uPNQ8/view?usp=drivesdk
155,Arreglos Orquestales ,Hildebrando Rodríguez,5,
156,Missa Luba,Guido Haazen,30,https://drive.google.com/file/d/1EKC_sjF8CzN8CckeIqiKks9M3psFmApN/view?usp=drivesdk
157,Misa Brevis,Giovanni Pierluigi di Palestrina,15,https://drive.google.com/file/d/1cFE0_qQthUzNy5eYdHdDG_-xl4qNA8DM/view?usp=drivesdk
158,Missa pro defunctis (Introitus),Anonimo,10,https://drive.google.com/file/d/1i5a1Jm2-42-2tpGU0cCv-My8-lXetf0g/view?usp=drivesdk
159,Mucuchies,Ruben Rivas,10,https://drive.google.com/file/d/1aNte37wHho3W1czIFWh4pLasnyoO6g0x/view?usp=drivesdk
160,Muie Rendeira,Carlos Pinto Fonseca,20,https://drive.google.com/file/d/1Xkz4vxNylWsw_8FEIe_6ShFgOW3vYfkZ/view?usp=drivesdk
161,Na Bahia Tem,Hector Villalobos,10,https://drive.google.com/file/d/1SatRdrahFxkL8-toNyyP0OLBQ6hbEHZk/view?usp=drivesdk
162,Navidad de los Campos,Federico Ruiz,15,https://drive.google.com/file/d/1wOIc-Js941RHGLy9arsEBX79Xu5bcIvk/view?usp=drivesdk
163,Campanas de Navidad,Anonimo,1,https://drive.google.com/file/d/1PXkga9qCC4oaNvB4eMjVlWtF7-FANIVe/view?usp=drivesdk
164,Noche de Paz,Cesar Alejandro Carrillo,20,https://drive.google.com/file/d/1z3MfccrclxaZN1lni3TzX5AX-XPOCTVg/view?usp=drivesdk
165,Noches Larenses,Modesta Bor,,https://drive.google.com/file/d/1wHa8QbFN55HbA3wgeAlpo54kDQiHVXJ6/view?usp=drivesdk
166,O magnum mysterium,Tomas Luis de Victoria,8,https://drive.google.com/file/d/1nDy7hD77rZWH-Tx7gQrtpLsS271AuVpY/view?usp=drivesdk
167,O magnum mysterium,William Byrd,10,https://drive.google.com/file/d/1JXFUrj98ABECTz6ir1ylAKXOy5fTOSdw/view?usp=drivesdk
168,O quam gloriosum,Victoria,10,https://drive.google.com/file/d/1bEPYUpMCEn2XrnU9gcSZ5455EC7e39-x/view?usp=drivesdk
169,Oda a la Paz,Jose Pagan,20,https://drive.google.com/file/d/1Y9Nz5VI784zfggGO-zhRlhzJIEl4u1QT/view?usp=drivesdk
170,Odi et Amo,Carl Orff,8,https://drive.google.com/file/d/1UaoBiqUMR5wehCcQahTtkIT2Imck5pGI/view?usp=drivesdk
171,Camino a Belen,Gilberto Rebolledo,,https://drive.google.com/file/d/1lzYK3YlkMiWQWaeNdtkssF7tcFUh0miJ/view?usp=drivesdk
172,Oh Lemuel,Roger Wagner,10,https://drive.google.com/file/d/1k_DBa7KRAm2qZNy6JwachFC_peUuV_rE/view?usp=drivesdk
173,Oh virgen pura,Rafael Izaza,8,https://drive.google.com/file/d/1Q9Ii6QdW_PdnXnPuDmv8shBtFt87YOjP/view?usp=drivesdk
174,Magnificat,Johann Sebastian Bach,8,https://drive.google.com/file/d/1ZkhM2oOPO1ucd6DOB0A2W8MjT0QjyTbK/view?usp=drivesdk
175,Paradura del niño,Jose Geraldo Arrieche,10,https://drive.google.com/file/d/19LC9bi3Rg-QU7IPTAhL71GNCpZHGDsve/view?usp=drivesdk
176,Partamos a Belen,Cesar Alejandro Carrillo,10,https://drive.google.com/file/d/1gBWJiH1nby91vvGAR1FYYMXOTGs4M3tP/view?usp=drivesdk
177,Polo Margariteño,Modesta Bor,5,https://drive.google.com/file/d/1Vljmk4L0D-MTHi-XBkUBqYrbO40WogWV/view?usp=drivesdk
178,Popule Meus,Jose Angel Lamas,15,https://drive.google.com/file/d/1KIJEAuAestcXVLkbqON2rpR5rLVZzoQD/view?usp=drivesdk
179,Por la cabra rubia,Vicente Emilio Sojo,10,https://drive.google.com/file/d/1fNO8KlLvDMzsgImUw0foEp6amfeH0miw/view?usp=drivesdk
180,Que mejor oracion,Jose Geraldo Arrieche,,https://drive.google.com/file/d/1c4JsxfuDsm0QV9r3m5XN0k2wqP7GJsCt/view?usp=drivesdk
181,Quiero ser luz,Daniel Reguera,8,https://drive.google.com/file/d/11XZAlTjhqE4cJ5HAg2hV5ACQwhCZrW2O/view?usp=drivesdk
182,Quirpa Guatireña,Ruben Rivas,10,https://drive.google.com/file/d/1wLjJvmz39U4UBWf76QzSqMgoTpJ44U_r/view?usp=drivesdk
183,Quisiera,Roberto Varela,3,https://drive.google.com/file/d/117JDJXEIXY0zIYbFGnLkk0-Sm10Wiljk/view?usp=drivesdk
184,-,-,-,
185,Regina Coeli,Johannes Brahms,12,https://drive.google.com/file/d/1EE8dBVBrFmFAteZmPWL0Ijd2qbs2uLIh/view?usp=drivesdk
186,-,-,-,
187,Richte Mich Gott,Mendelssohn,15,https://drive.google.com/file/d/1Ke3k7IOPyLtjXpU9SNgvi27ezL40T4oB/view?usp=drivesdk
